chr	start	end	size	chrregionprob
chr1	792501	2702781	1910281	0.0084569630287277
chr1	2746291	12954384	10208094	0.0451920285820657
chr1	13004385	16799163	3794779	0.0167997827048441
chr1	16849164	29552233	12703070	0.0562374819941883
chr1	29553836	91386299	61832464	0.273737142348763
chr1	91388401	103594399	12205999	0.0540369098952915
chr1	103760601	121605199	17844599	0.0789994320235982
chr1	124938901	124977944	39044	0.000172850834245666
chr1	124978327	125013060	34734	0.000153770127975846
chr1	125013224	125026048	12825	5.67772756172693e-05
chr1	125026072	125029104	3033	1.34273276372068e-05
chr1	125029170	125067599	38430	0.00017013260834087
chr1	125086001	125103213	17213	7.62032939727139e-05
chr1	125103234	125130199	26966	0.000119380585909964
chr1	143562201	161423099	17860899	0.0790715933953379
chr1	161472401	168348599	6876199	0.03044146945982
chr1	168349901	223558935	55209035	0.24441470540027
chr1	223608936	224010799	401864	0.00177908328176673
chr1	224017001	228558364	4541364	0.0201049727490327
chr1	228608365	236712999	8104635	0.0358798514754282
chr1	236715601	248752513	12036913	0.0532883529810598
chr1	248752515	248755121	2607	1.15413924003291e-05
chr1	248755123	248932699	177577	0.000786147233706653
chr2	10001	1221699	1211699	0.00518540599849562
chr2	1223901	1594699	370799	0.0015868159987226
chr2	1605201	3179599	1574399	0.00673756272690289
chr2	3182101	4643799	1461699	0.00625526864559189
chr2	4648801	10952799	6303999	0.026977652229729
chr2	10955001	13718699	2763699	0.0118271133116693
chr2	13737701	16145119	2407419	0.0103024306560394
chr2	16146120	20953874	4807755	0.0205745499635613
chr2	20953876	21903499	949624	0.0040638689855446
chr2	21906401	31482684	9576284	0.0409812341983427
chr2	31482686	31591758	109073	0.000466772514026926
chr2	31591760	31591785	26	1.11265715298012e-07
chr2	31591787	31591789	3	1.28383517651553e-08
chr2	31591791	32865899	1274109	0.00545248650971673
chr2	32869901	32915299	45399	0.000194282777262094
chr2	32918401	33766499	848099	0.0036293977645588
chr2	33768401	36182999	2414599	0.010333157111264
chr2	36184501	49228699	13044199	0.0558220050855621
chr2	49230701	64359299	15128599	0.064742091891992
chr2	64377001	86655299	22278299	0.0953388797637689
chr2	86661101	86900699	239599	0.00102535208152648
chr2	87078101	87119299	41199	0.000176309084790877
chr2	87189801	87216999	27199	0.000116396776553486
chr2	87866201	88770999	904799	0.00387204261292024
chr2	88806501	89235299	428799	0.00183502413284894
chr2	89947101	90246299	299199	0.00128040733659423
chr2	91735501	91782999	47499	0.000203269623497703
chr2	91924801	91968999	44199	0.000189147436556032
chr2	94569501	95849399	1279899	0.00547726452862348
chr2	96067901	97106299	1038399	0.00444377721152848
chr2	97615801	109198399	11582599	0.0495671601055785
chr2	109200701	109493617	292917	0.00125352382799799
chr2	109493619	109744599	250981	0.00107406078812348
chr2	110095201	110229199	133999	0.000573442099393013
chr2	110633401	111253599	620199	0.00265411097546584
chr2	111500501	112346199	845699	0.00361912708314668
chr2	112441301	113370099	928799	0.00397474942704148
chr2	113662701	130496799	16834099	0.0720406948704828
chr2	130716401	132200999	1484599	0.00635326806406591
chr2	132288901	132353599	64699	0.000276876173617927
chr2	132364501	148880799	16516299	0.070680685473494
chr2	148882801	161277699	12394899	0.0530433578185237
chr2	161283401	181274799	19991399	0.085552204213191
chr2	181276801	226108499	44831699	0.191855040663853
chr2	226110401	233142969	7032569	0.0300955315449087
chr2	233142971	233143702	732	3.13255783069788e-06
chr2	233143704	233143708	5	2.13972529419254e-08
chr2	233143710	233143728	19	8.13095611793166e-08
chr2	233143730	233144846	1117	4.78014630722614e-06
chr2	233144848	233145085	238	1.01850924003565e-06
chr2	233145087	234889799	1744713	0.00746641307441311
chr2	234894401	238903659	4009259	0.0171574257865382
chr2	238904048	239642199	738152	0.00315888501071763
chr2	239645601	239866290	220690	0.000944431950350704
chr2	239866292	240308099	441808	0.00189069550555324
chr2	240310301	241589299	1278999	0.00547341302309394
chr2	241591801	242005899	414099	0.00177211620919968
chr2	242011101	242110099	98999	0.000423661328799535
chr3	11601	3895199	3883599	0.0200353265883148
chr3	3896701	4916699	1019999	0.00526213264674197
chr3	4922501	14090999	9168499	0.0472999070680669
chr3	14092501	15187199	1094699	0.00564750685663005
chr3	15207801	15592099	384299	0.00198258264371857
chr3	15603301	16176799	573499	0.0029586576170897
chr3	16179201	16679699	500499	0.00258205363687779
chr3	16682501	16814154	131654	0.000679197539874223
chr3	16814156	16816463	2308	1.19068765250559e-05
chr3	16816465	16894810	78346	0.000404183773064137
chr3	16894812	16902882	8071	4.16379551272643e-05
chr3	16902884	19499699	2596816	0.0133968663216159
chr3	19504001	19623999	119999	0.000619069877006144
chr3	19627101	21983199	2356099	0.0121550172763465
chr3	21988101	24053499	2065399	0.0106553080017218
chr3	24054901	26384799	2329899	0.0120198525601608
chr3	26404101	29993899	3589799	0.0185196245419277
chr3	29999901	36987499	6987599	0.0360487341852703
chr3	36995001	38083399	1088399	0.0056150054172419
chr3	38085401	38406099	320699	0.00165447287465723
chr3	38430901	39366699	935799	0.00482774832984002
chr3	39386001	40219399	833399	0.00429947096581674
chr3	40240501	49670999	9430499	0.0486515542299233
chr3	49696701	51457799	1761099	0.00908543688968778
chr3	51462001	57326799	5864799	0.0302562554320932
chr3	57328501	60119041	2790541	0.0143962855828015
chr3	60119043	60204335	85293	0.000440023058687865
chr3	60204337	65124099	4919763	0.0253808538013598
chr3	65126101	65509999	383899	0.00198051906026535
chr3	65513901	65697399	183499	0.000946663750204172
chr3	65699301	66186452	487152	0.00251319701600261
chr3	66186454	66191220	4767	2.45927558037008e-05
chr3	66191222	66273799	82578	0.000426016485999161
chr3	66275201	68076399	1801199	0.00929231113087267
chr3	68077801	69047299	969499	0.00500160523577346
chr3	69053601	69475299	421699	0.00217552769659425
chr3	69479701	75630099	6150399	0.0317296540176894
chr3	75707801	75736399	28599	0.000147541057946306
chr3	75754601	78948799	3194199	0.0164787405066971
chr3	78950501	80875999	1925499	0.00993356968895952
chr3	80894001	89345599	8451599	0.0436014496240406
chr3	89370501	90156399	785899	0.00405442043074735
chr3	90175501	90455399	279899	0.00144398736242921
chr3	91297101	91345078	47978	0.000247516517295984
chr3	91345174	91364131	18958	9.78035377651687e-05
chr3	91364152	91438798	74647	0.000385100785080523
chr3	91438819	91516199	77381	0.000399205377983254
chr3	93749201	96616299	2867099	0.0147912451378298
chr3	96619301	97905099	1285799	0.00663338385140396
chr3	97923201	101674799	3751599	0.0193543440487535
chr3	101698401	103224299	1525899	0.00787204981919681
chr3	103236501	106665699	3429199	0.0176910957854615
chr3	106669701	106975899	306199	0.00157966797447816
chr3	106979601	108751099	1771499	0.00913909005947139
chr3	108755101	111019499	2264399	0.0116819407696967
chr3	111024601	121933799	10909199	0.0562801063605993
chr3	121936401	122414299	477899	0.00246546117177109
chr3	122417501	122735499	317999	0.00164054368634803
chr3	122796601	122836999	40399	0.000208416769816175
chr3	122838701	133177099	10338399	0.0533353727728601
chr3	133179801	133551499	371699	0.00191757976494226
chr3	133579501	135437199	1857699	0.00958379229363942
chr3	135439101	136954599	1515499	0.0078183966494132
chr3	136969201	137168399	199199	0.0010276594007429
chr3	137169901	138575799	1405899	0.00725297478323204
chr3	138595901	139190799	594899	0.00306905933183675
chr3	139194701	153236199	14041499	0.0724395124868699
chr3	153241301	155544099	2302799	0.0118800447812054
chr3	155546701	156278999	732299	0.00377790024801642
chr3	156283501	157080799	797299	0.00411323255916401
chr3	157093401	158511299	1417899	0.00731488228682851
chr3	158513101	160941199	2428099	0.0125264622979253
chr3	160948701	161001899	53199	0.000274451440319085
chr3	161014101	165573099	4558999	0.0235196872490699
chr3	165591001	166228199	637199	0.00328728328201433
chr3	166232401	168012099	1779699	0.00918139352026232
chr3	168016801	170566999	2550199	0.0131563711470195
chr3	170569901	170864299	294399	0.00151879226260829
chr3	170881401	171626599	745199	0.00384445081438263
chr3	171637701	174829199	3191499	0.0164648113183879
chr3	174831801	176828699	1996899	0.0103019193353586
chr3	176833001	177660599	827599	0.00426954900574511
chr3	177664001	178926799	1262799	0.00651472780284404
chr3	178941301	183016899	4075599	0.0210258466458584
chr3	183019101	183955399	936299	0.00483032780915654
chr3	183958701	187893899	3935199	0.0203015288537796
chr3	187896101	192739299	4843199	0.0249858632925798
chr3	192742701	194323599	1580899	0.008155792544014
chr3	194334901	195477899	1142999	0.00589668455860587
chr3	195507301	195615999	108699	0.000560773644452794
chr3	195750101	195775499	25399	0.000131032390320578
chr3	195791401	195914099	122699	0.000632999065315352
chr3	196028301	196249399	221099	0.00114064059480647
chr3	196251901	196897799	645899	0.00333216622212178
chr3	196899801	197030599	130799	0.000674786630242974
chr3	197035801	197383399	347599	0.00179324886188601
chr3	197428801	197454699	25899	0.000133611869637098
chr3	197460801	197598399	137599	0.000709867548947645
chr3	197680901	198099799	418899	0.00216108261242174
chr4	69201	554099	484899	0.00259770197455758
chr4	556501	1426999	870499	0.00466343913093324
chr4	1468901	6002699	4533799	0.0242884778367189
chr4	6005701	7862999	1857299	0.00994992623132613
chr4	7865001	8797477	932477	0.00499546780696501
chr4	8816478	9212699	396222	0.00212264135781503
chr4	9369601	31819295	22449695	0.120267554747928
chr4	31832570	31835775	3206	1.7175190153891e-05
chr4	31835796	32833016	997221	0.0053423145041963
chr4	32839017	40291699	7452683	0.0399255295326484
chr4	40318201	49077199	8758999	0.0469237284412792
chr4	51816101	55327199	3511099	0.018809667178458
chr4	55329201	58878793	3549593	0.0190158873187525
chr4	58921382	77993999	19072618	0.102175870518566
chr4	78009601	119274399	41264799	0.22106387070714
chr4	119301701	146285099	26983399	0.14455552365044
chr4	146305301	162420499	16115199	0.0863323790370536
chr4	162422401	166554299	4131899	0.0221354182849882
chr4	166581301	181238799	14657499	0.0785231854352673
chr4	181242301	189232499	7990199	0.0428051114137335
chr4	189236301	189834899	598599	0.00320681586117561
chr4	189849701	189877499	27799	0.000148924863096699
chr4	190023701	190048599	24899	0.000133388976806529
chr5	44101	548299	504199	0.00288294509538536
chr5	564101	647599	83499	0.000477436552868178
chr5	651701	1326099	674399	0.00385612682568349
chr5	1334601	2144599	809999	0.00463147020187872
chr5	2147801	2489799	341999	0.00195550633713414
chr5	2491701	3322099	830399	0.00474811478059835
chr5	3325101	6967699	3642599	0.0208279130293904
chr5	6971701	17516799	10545099	0.0602955210986199
chr5	17600201	21477599	3877399	0.0221704692589674
chr5	21497601	25381399	3883799	0.0222070636366049
chr5	25384301	34177899	8793599	0.0502806691560983
chr5	34244801	45522899	11278099	0.0644867209124186
chr5	45525201	45742999	217799	0.00124534669610578
chr5	45744801	46433899	689099	0.0039401795368197
chr5	46687701	46708099	20399	0.000116638860848129
chr5	50165301	60759699	10594399	0.060577412163859
chr5	60762501	63320899	2558399	0.0146285967427322
chr5	63335501	69540699	6205199	0.0354805305503187
chr5	71359501	71849999	490499	0.00280461025575502
chr5	71852801	74685399	2832599	0.0161964371096402
chr5	74712401	78452399	3739999	0.0213848337140616
chr5	78457601	78848399	390799	0.00223453846662033
chr5	78872801	80649099	1776299	0.0101566494379956
chr5	80653101	85641799	4988699	0.0285247398634346
chr5	85662701	93947499	8284799	0.0473714161339145
chr5	93948901	94567099	618199	0.00353478244705391
chr5	94570401	100045499	5475099	0.0313059125638871
chr5	100076301	106425499	6349199	0.0363039040471632
chr5	106429501	109259499	2829999	0.016181570643725
chr5	109265401	111302099	2036699	0.0116455831781227
chr5	111308301	114156699	2848399	0.0162867794794329
chr5	114158301	119903999	5745699	0.032853168593374
chr5	119905601	123760299	3854699	0.0220406735757843
chr5	123762201	134922499	11160299	0.0638131556490278
chr5	134929401	139005499	4076099	0.0233066103271827
chr5	139011601	139452659	441059	0.00252191868850508
chr5	139453660	146609999	7156340	0.0409190325722782
chr5	146615501	153071099	6455599	0.0369122855753872
chr5	153077001	155760324	2683324	0.0153429018406023
chr5	155761325	156658299	896975	0.00512878779397279
chr5	156665401	161605999	4940599	0.0282497102440025
chr5	161611701	171083899	9472199	0.054160816759978
chr5	171090201	175904499	4814299	0.0275275430728118
chr5	176118001	176590699	472699	0.00270283214295063
chr5	176593001	177636699	1043699	0.00596773677279924
chr5	177684701	177960499	275799	0.00157698324344592
chr5	177981401	178584599	603199	0.00344901437446594
chr5	178586601	181172599	2585999	0.014786409996294
chr6	60001	256499	196499	0.00116906383384578
chr6	382801	861499	478699	0.00284800272875761
chr6	864201	1052799	188599	0.00112206306393152
chr6	1054801	26669199	25614399	0.152391958720378
chr6	26832301	33484599	6652299	0.0395776170506133
chr6	33486401	34070599	584199	0.00347567123837206
chr6	34074001	38261999	4187999	0.024916351569638
chr6	38301601	39455799	1154199	0.00686686602965393
chr6	39460501	44043599	4583099	0.0272669850118055
chr6	44080001	44180599	100599	0.000598510183873973
chr6	44182901	51874899	7691999	0.0457632753392023
chr6	51901301	54961899	3060599	0.0182089252403552
chr6	54967401	58432199	3464799	0.0206136988098923
chr6	60242301	61321799	1079499	0.00642244102805962
chr6	61493001	61573199	80199	0.000477141107133359
chr6	61575101	61661899	86799	0.000516407573137675
chr6	61673401	95020790	33347390	0.198399114510254
chr6	95070791	103708999	8638209	0.0513927181873757
chr6	103715101	115218578	11503478	0.0684395345179395
chr6	115218580	115254899	36320	0.000216084552314662
chr6	115256801	143799899	28543099	0.169816155536566
chr6	143801801	156035299	12233499	0.0727827685753542
chr6	156040101	157309499	1269399	0.00755224434536563
chr6	157324801	160611699	3286899	0.0195552890671396
chr6	160647401	167591393	6943993	0.0413130401619259
chr6	167641394	170145299	2503906	0.0148968999737884
chr6	170147201	170376899	229699	0.00136658605677658
chr6	170401001	170465399	64399	0.000383139567304844
chr6	170468401	170745979	277579	0.00165144641924426
chr7	49601	224499	174899	0.00113092429089122
chr7	241301	904699	663399	0.00428964169979785
chr7	907101	1271399	364299	0.00235561431596167
chr7	1273501	45250999	43977499	0.284365387290632
chr7	45253001	56369499	11116499	0.0718810213252675
chr7	56375601	57485299	1109699	0.00717548730797601
chr7	57497801	57611599	113799	0.000735842133912315
chr7	57637701	58031799	394099	0.0025483057771396
chr7	60997401	61017799	20399	0.000131903124717065
chr7	61075201	61102899	27699	0.000179106066549242
chr7	61725201	61964169	238969	0.00154521093242376
chr7	61967064	61976104	9041	5.84605201513303e-05
chr7	62026105	62265699	239595	0.00154925874633978
chr7	62409501	62429999	20499	0.000132549740358602
chr7	62520601	65487999	2967399	0.0191876660808027
chr7	65496501	100951399	35454899	0.229256922625028
chr7	100968301	100991499	23199	0.000150008362680092
chr7	101004601	102474699	1470099	0.00950589008007417
chr7	102686401	142665099	39978699	0.258508521016864
chr7	142668501	143650804	982304	0.00635173131144037
